=== MEETING ATTENDEES ===
Total Attendees: 2
Meeting Start: 2026. 6. 26. 오후 1:01:22

Attendee List:
-  
- Gichan Lee

=== TRANSCRIPT ===
[오후 1:01:24]  : 라이브캡션.
[오후 1:01:47]  : 그 저 같은 경우에는 저를 이제 음, 제가 어떤 일을 아직 좋아하는지 잘 모르거든요. 그래서 그러니까 한 곳에 이렇게 포커스를 두기보다는 전반적으로 제가 했던 것들, 지금 하는 일 그리고 가르치는 거와 관련된 일 만드는 거와 관련된 일.
[오후 1:01:49]  : 저 이제 테크니컬스텍 하고 또 마지막에 간단하게 남겼었습니다.
[오후 1:02:00]  : 그래서 나는 에이아이를 이제 필드에다가 디플로이 하는 일을 하고 또 다른 사람들한테 인 걸 하도록 가르치는 사람이다.
[오후 1:02:05]  : 계속 프로덕트 빌드업 디플러엔지니어 에드게이트다.
[오후 1:02:14]  : 해서 지금은 현재 AIFD 로서 어 AI 이노베이션 팀을 어 리드하고 있다.
[오후 1:02:41]  : 그다음에 요건 이제 가르치는 역할로 어떤 프로젝트를 해봤고 요것도 비쥬얼라이제이션을 통해서 리니알제브라 같은 걸 알려줬다. 이건 만들었다 해서 어 서울에 있는 뭐 여러 도서관 사이트들을 API 가 없기 때문에 제가 어 에이전트를 이용해서 어 책들을 빨리 찾아볼 수 있는 서비스를 만들어보고 이 공고도 만들어봤다 해서 이제 자세하게 적혀있습니다.
[오후 1:02:51]  : 그래서 저 같은 경우는 지금 하고 있는 일 이 콜라보레이션 시스템을 만들고 있는데 이 키바라는 데가 제가 지금 다니고 있는 한국 회사입니다. 어 이거는 예.
[오후 1:02:57]  : 아 좀 작은 회사에요. 직원은 40명 정도밖에 안 됩니다.
[오후 1:03:00]  : 안 맞은 그 회사 생각이 났어요. 아마존 킨들.
[오후 1:03:05]  : 아마.
[오후 1:03:10]  : 예.
[오후 1:03:19]  : 그래서 저 같은 경우에는 이게 음 이 회사는 가보먼트하고 주로 일을 하고 있는데 가보먼트가 어떤 프로젝트를 하고 여기에 대한 코스트를 누군가 벨리데이션 하기를 원하거든요.
[오후 1:03:24]  : 그 벨리디에이션 해주는 회사입니다.
[오후 1:03:43]  : 그래서 지금 같은 경우에는 밸리데이션을 해주는 데서 사람이 거의 엑셀을 써서 112 문서를 만들고 해서 너무나도 작업시간이 길게 걸리는데 이걸 이제 에이아이를 통해서 빠르게 오토메이션으로 만들어보자 해서 여기 이제 대표가 저한테 너가 AI 팀을 이끌어봐라 이렇게 해서 지금 한지 123 개월밖에 안 됐습니다.
[오후 1:03:46]  : 구 삼 개월 하는데 여기 오면 어떡해?
[오후 1:03:56]  : 그래서 제가 이렇게 그때 면접을 봤었는데 아니 일 같이 하자 하시길래 제가 일하고 싶은데 혹시 미국에 갈 수도 있습니다 했거든요.
[오후 1:04:02]  : 근데 딱 미국이 이제 확정되고 나서 제가 미국에 가게 됐는데 그래도 저 2일 너무 하고 싶습니다.
[오후 1:04:06]  : 미국에 가더라도 하루에 두 시간씩 하겠습니다. 그래서 하루에 두 시간으로 계약서를 썼어요.
[오후 1:04:13]  : 하루에 2시간 일하는 걸로 잠시라도 저는 하루에 두 시간이라도 하고 싶다 해서 지금 매일 아침 여섯 시에.
[오후 1:04:18]  : 거기는 이제 저녁 열시니까 항상 화상으로 해서 하고 있는데.
[오후 1:04:23]  : 좀 조금 많이 힘들어요.
[오후 1:04:26]  : 피곤해 엄청, 그것도 그렇지.
[오후 1:04:29]  : 근데 하고 싶어요. 왜냐하면 이 일도 엄청 재밌는 엄청 의미가 있는 일이거든요.
[오후 1:04:30]  : 예, 맞습니다.
[오후 1:04:41]  : 그랬을 때 저가 하는 일은 오케스트레이션이라고 해서 이 클라이언트 이제 요 이 회사의 원래 계셨던 원장님은 논디벨로퍼예요.
[오후 1:04:45]  : 그래서 원하는 걸 막기 위해 엄청.
[오후 1:04:51]  : 그거를 요즘 이제 AI 가 대신 바이브 코딩으로 만들어 줄 수 있으니까.
[오후 1:04:53]  : AI 가 이해할 수 있도록 제가 또 한번 변환시켜야 돼요.
[오후 1:04:59]  : 그게 그게 진짜 제1 힘들더라고요.
[오후 1:05:02]  : 왜냐하면 원장님은 이런 것들이 엄청 쉬운 줄 알아요?
[오후 1:05:07]  : 이렇게 디프고이먼트 하고 하는 것들이 웹 서비스를 만드는 게, 그러니까 보안 같은 것도 그냥 되는 줄 알아요?
[오후 1:05:10]  : 엄청 힘든데 그래서 그런 것들에 대해서 일을 제가 다 스플릿해서 만들어야 돼요.
